""	"67.AV770T"	"35.AV590"	"25.AV608"	"18.AV863"	"06.AV996"	"91.AV609"	"19.AV864"	"79.AV567"	"82.AV579"	"55.AV717T"	"40.AV521"	"10.AV587"	"12.AV596"	"01.AV967"	"34.AV589"	"03.AV971"	"49.AV555T"	"84.AV803"	"52.AV612TA"	"68.AV791T"	"94.AV802"	"24.AV580"	"69.AV782.2T"	"93.AV611"	"44.AV543"	"36.AV591"	"75.AV794TA"	"80.AV568"	"66.AV604T"	"04.AV972"	"02.AV968"	"45.AV571"	"92.AV610"	"08.AV583"	"76.AV833T"	"56.AV718T"	"17.AV817"	"11.AV588"	"50.AV555TA"	"53.AV650T"	"71.AV604TA"	"81.AV570"	"70.AV794T"	"86.AV866"	"54.AV650TA"	"42.AV541"	"73.AV791TA"	"74.AV782.2TA"	"43.AV542"	"83.AV814"	"13.AV597"	"05.AV974"	"09.AV584"	"41.AV527"	"51.AV612T"	"32.AV572"	"85.AV865"	"33.AV586"	"37.AV598"	"16.AV816"	"48.AV551T"	"72.AV770TA"
"f__Brevibacteriaceae"	0	0	0	0	0	0	0.0608056751963517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209187515689064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Burkholderiaceae"	0.0469939534446568	0.00496376451901122	0.0343220730532124	0.0335210512201663	0.045592210245221	0.0491009223011081	0.238155561185711	0.00194685096855836	0.00833732830314526	0.416606113452502	0.00376832347288691	0.0175008750437522	0.0264053514845675	0.0347277032359905	0.0271085358002101	0.107894263621651	6.466657845991	0.0914196160376126	0.018754688672168	0.0156195087664493	4.26252184041934	0.194569735562041	0.00277015983822267	0.0304893541338483	0.0177466788358179	0.0273267597294651	0.0127997269391586	0.0132583290717276	0.0306133808304575	0.00524714030853185	0.0152164540589891	0.0268057818009361	0.0205109505686091	0.0401431773324859	0.103914097679252	0.49368253702619	0	0.00647668393782383	2.16810354843957	0.13760958828099	0.00961057932572175	0.00296436829311674	0.0107987473453079	0.0339774899129327	0.0533057158957645	0.00508155902230804	0.00398446060364578	0.00402519773783887	0.0086408018664132	0.0147768692739632	0	0	0.00337997701615629	0.00521335661965957	0.0860899509548158	0	0	0.101165274082956	0	0	3.99082925312816	0.00356157065265782
"f__Campylobacteraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Candidatus Carsonella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Carnobacteriaceae"	0	0	0	0.00670421024403325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443901897680613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194295484572939	0
"f__Chitinophagaceae"	0.0125317209185751	0	0.00132007973281586	0	0	0.00663525977042001	0	0	0.00208433207578631	0.0242212856658431	0	0	0	0	0	0	0.727705742259857	0	0	0	0.029120559114735	0.00884407888918369	0	0.00254077951115402	0	0.00455445995491085	0	0	0.0166982077257041	0	0	0	0	0	0	0.0418375031378127	0	0	0.171961053145261	0.0133170569304184	0.00192211586514435	0	0	0	0.0045690613624941	0	0	0	0	0	0.00308223400320552	0	0	0	0.0313054367108421	0	0	0.0224811720184346	0	0	0.248698220253361	0.00534235597898673
"f__Chloroplast"	0	0	0	0	0	0.00796231172450401	0	0	0.0104216603789316	0	0	0	0	0.00315706393054459	0	0	0	0	0	0	0	0.00176881577783674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Clostridiales_Incertae Sedis XI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Comamonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00176881577783674	0	0	0	0	0	0	0	0	0	0	0	0.00334526477770716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Coriobacteriaceae"	0.0156646511482189	0	0.0884453420986628	0.0301689460981497	0.0195395186765233	0.120761727821644	0.0152014187990879	0.0506181251825173	0.07920461887988	0.0968851426633726	0.118702189395937	0.105005250262513	0.0586785588545945	0.208366219415943	0.0101657009250788	0.255349757237907	0.482931992590633	0.0261198902964608	0.116695840626824	0.0292865789370924	0.134682585905649	0.136198814893429	0.0193911188675586	0.0711418263123126	0.0887333941790893	0.00910891990982169	0.0554654834030207	0.00378809402049359	0.0473115885561616	0.0734599643194459	0.0557936648829601	0.032991731447306	0.0660908407210739	0.0936674137758004	0.200900588846554	0.983181323738599	0.0736524941412789	0.0550518134715026	0.123161294820254	0.0155365664188214	0.071118287010341	0.0133396573190253	0.0467945718296678	0.0212359311955829	0.0380755113541175	0.0813049443569287	0.105588205996613	0.00603779660675831	0.0691264149313056	0.0147768692739632	0.157193934163482	0.0554836323284631	0.0439397012100318	0.0521335661965957	0.106960242095377	0.0198452073824172	0.0186472735022243	0.157368204129042	0.0522134785365308	0.0443049658482555	0.769410118908837	0.119312616864037
